frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
55,1777837103.807914,112.257643,94.813338,86.344359,-2.720884,-2.154893,-2.346772,-2.719835,-2.147932,-2.350349,-0.004845,128.343578,113.795079,100.577803,-1.921705,-1.369776,-1.960085,-1.930954,-1.370011,-1.950368,0.035553,122.981600,107.467832,95.833321,-2.188098,-1.631482,-2.088981,-2.193914,-1.629318,-2.083695,0.119681
56,1777837103.857004,112.257643,94.813338,86.344359,-2.641284,-2.352618,-2.454437,-2.671907,-2.371667,-2.469513,-0.028368,128.343578,113.795079,100.577803,-1.795942,-1.736834,-2.197954,-1.822293,-1.756235,-2.203964,0.035715,122.981600,107.467832,95.833321,-2.077723,-1.942095,-2.283448,-2.105497,-1.961379,-2.292480,0.044004
57,1777837103.908600,113.276775,95.661899,86.629358,-2.675882,-2.547448,-2.572452,-2.723180,-2.577168,-2.596409,-0.046606,128.829385,113.994180,101.199306,-1.804741,-2.135272,-2.445869,-1.829201,-2.163918,-2.478950,0.032799,123.645182,107.883420,96.342657,-2.095122,-2.272664,-2.488063,-2.127194,-2.301668,-2.518103,-0.028686
58,1777837103.954458,111.529412,94.396388,86.370463,-2.809700,-2.731478,-2.681026,-2.806877,-2.720601,-2.692405,-0.058430,127.676230,112.809986,100.195324,-1.910332,-2.539248,-2.710072,-1.896484,-2.543574,-2.731952,0.027407,122.293957,106.672120,95.587037,-2.210121,-2.603325,-2.700390,-2.199948,-2.602583,-2.718770,-0.092362
59,1777837103.991890,111.529412,94.396388,86.370463,-2.907579,-2.803910,-2.723110,-2.841232,-2.751135,-2.695242,-0.063829,127.676230,112.809986,100.195324,-2.001099,-2.858462,-2.921229,-1.961653,-2.825835,-2.896720,0.020335,122.293957,106.672120,95.587037,-2.303259,-2.840278,-2.855189,-2.254846,-2.800935,-2.829560,-0.144070
60,1777837104.061332,111.948071,95.291201,86.444284,-2.856338,-2.694518,-2.626322,-2.786709,-2.648122,-2.565686,-0.063511,128.466515,112.566143,99.805808,-2.004203,-3.013479,-2.992130,-1.978097,-2.956918,-2.921421,0.012375,122.960367,106.807829,95.351967,-2.288248,-2.907159,-2.870194,-2.247634,-2.853986,-2.802843,-0.183193
61,1777837104.131604,111.948071,95.291201,86.444284,-2.603591,-2.395346,-2.314872,-2.616487,-2.403947,-2.283371,-0.057050,128.466515,112.566143,99.805808,-1.904324,-2.942844,-2.840821,-1.906812,-2.903728,-2.780493,0.004219,122.960367,106.807829,95.351967,-2.137413,-2.760344,-2.665505,-2.143370,-2.737134,-2.614786,-0.210941
62,1777837104.192132,116.199964,98.280923,89.612333,-2.218931,-1.959383,-1.810662,-2.297987,-2.011621,-1.834910,-0.044251,130.005064,114.476850,101.970442,-1.701560,-2.646946,-2.461458,-1.715403,-2.655695,-2.476718,-0.003850,125.403364,109.078208,97.851073,-1.874017,-2.417758,-2.244526,-1.909597,-2.441004,-2.262782,-0.225043
63,1777837104.231547,113.823437,97.320312,89.294097,-1.809168,-1.466983,-1.223535,-1.805504,-1.469543,-1.227065,-0.029198,129.892361,115.044444,103.233532,-1.408124,-2.208702,-1.970479,-1.389553,-2.229985,-2.035570,-0.011734,124.536053,109.136400,98.587054,-1.541805,-1.961462,-1.721498,-1.528203,-1.976505,-1.766068,-0.218268
64,1777837104.281017,113.823437,97.320312,89.294097,-1.230366,-0.845753,-0.528912,-1.110318,-0.766360,-0.479637,-0.017688,129.892361,115.044444,103.233532,-0.968077,-1.648643,-1.438075,-0.914522,-1.641303,-1.465205,-0.018721,124.536053,109.136400,98.587054,-1.055506,-1.381013,-1.135021,-0.979787,-1.349655,-1.136682,-0.188647
65,1777837104.338650,116.561305,99.516048,92.040389,-0.361353,-0.022570,0.307020,-0.223701,0.084693,0.366655,-0.013386,132.169492,116.799194,103.903679,-0.350032,-0.949463,-0.823607,-0.289814,-0.900247,-0.755201,-0.023756,126.966763,111.038145,99.949249,-0.353806,-0.640499,-0.446731,-0.267776,-0.571934,-0.381249,-0.142001
66,1777837104.393605,116.561305,99.516048,92.040389,0.737446,0.963566,1.208726,0.786874,1.020032,1.244531,-0.017536,132.169492,116.799194,103.903679,0.394095,-0.128441,-0.057546,0.439803,-0.045265,0.078427,-0.026075,126.966763,111.038145,99.949249,0.508546,0.235561,0.364545,0.555494,0.309834,0.467129,-0.086877
67,1777837104.438815,122.246979,103.942495,94.879922,1.896680,1.989770,2.093292,1.809142,1.933035,2.061604,-0.028846,134.616922,118.172330,105.151677,1.205177,0.813917,0.910536,1.191016,0.849519,0.977492,-0.025288,130.493608,113.429051,101.727758,1.435678,1.205868,1.304788,1.397058,1.210691,1.338862,-0.032533
68,1777837104.507005,122.978947,105.279727,96.916569,2.809146,2.798274,2.793989,2.685064,2.681141,2.698907,-0.043364,136.990132,122.297807,110.375329,1.928890,1.741341,1.919279,1.856655,1.674690,1.838188,-0.021393,132.319737,116.625114,105.889076,2.222309,2.093652,2.210849,2.132791,2.010173,2.125094,0.012699
69,1777837104.582300,122.978947,105.279727,96.916569,3.337561,3.233408,3.163153,3.268997,3.138533,3.063117,-0.054204,136.990132,122.297807,110.375329,2.407552,2.414329,2.658292,2.336676,2.307981,2.524973,-0.014788,132.319737,116.625114,105.889076,2.717555,2.687356,2.826579,2.647450,2.584832,2.704354,0.043424
